x,y,z
-1.047380701486877,-0.9893777531138491,-2.96553932268781e-06
-1.0476206945123836,-0.9893399404370818,-3.4454537751610337e-06
-1.0478609361404378,-0.9893024508994936,-3.0151054519721165e-06
-1.0481011119367762,-0.9892649954879694,-3.4054600744765073e-06
-1.0483414370405333,-0.9892278443775587,-3.0019133849049084e-06
-1.0485817034596552,-0.9891907235975108,-3.3892017622001724e-06
-1.0488221154464208,-0.9891539000382749,-2.9906736290739866e-06
-1.0490620946662697,-0.9891175348624587,-3.280290230181504e-06
-1.049302360692303,-0.9890809473712971,-3.012818430517955e-06
-1.0495427148964347,-0.9890443939507886,-3.4239244700064175e-06
-1.0497832342068185,-0.9890081543537419,-3.015090900334444e-06
-1.0500236920710102,-0.9889719500164379,-3.402345093772574e-06
-1.0502642996970746,-0.9889360493542853,-2.9965481816301986e-06
-1.050504846150604,-0.9889001749463143,-3.3845464465463715e-06
-1.050745323628716,-0.9888648155022847,-2.989841020841627e-06
-1.0509856039009526,-0.988829416936826,-3.4125025999941216e-06
-1.0512262768655838,-0.9887940794919576,-3.031980565820075e-06
-1.0514669249224733,-0.9887587838089185,-3.4227947074555454e-06
-1.0517077245521906,-0.9887238015848797,-3.0052494360381654e-06
-1.0519484611889773,-0.9886888478721956,-3.393805179652959e-06
-1.0521893436643017,-0.988654195136715,-2.995414841527877e-06
-1.052430030108793,-0.9886197912094202,-3.3145107833157383e-06
-1.0526706451018992,-0.9885856395601113,-2.9674740608075234e-06
-1.0529113890134771,-0.9885512412469957,-3.447607436771194e-06
-1.0531523791065038,-0.9885171709589209,-3.017024622190695e-06
-1.0533933024208966,-0.9884831320175727,-3.4076356135483155e-06
-1.0536343727111999,-0.9884494009885813,-3.0038673847522512e-06
-1.05387538373494,-0.9884156977809404,-3.391397300284843e-06
-1.0541165381945565,-0.9883822954412441,-2.9926564224409813e-06
-1.054357255269865,-0.9883493430104255,-3.2824993924859824e-06
-1.0545982622139778,-0.98831617610398,-3.0147553869326604e-06
-1.054839356632615,-0.988283042319746,-3.426113524246377e-06
-1.0550806135555517,-0.9882502261872794,-3.017081166432206e-06
-1.0553218081735436,-0.988217442790848,-3.4045802178341023e-06
-1.0555631503353684,-0.9881849666329532,-2.9985594497926316e-06
-1.0558044306976573,-0.988152514317644,-3.3868008110019e-06
-1.0560456378743506,-0.988120577261058,-2.991981047174852e-06
-1.0562866483272924,-0.9880885975230523,-3.41470035207167e-06
-1.0565280516135562,-0.9880566863955328,-3.0340088570564305e-06
-1.0567694289993372,-0.9880248149219909,-3.4250595995974353e-06
-1.057010955430082,-0.9879932606220715,-3.007290984360922e-06
-1.0572524181737648,-0.9879617322296833,-3.3960965946204513e-06
-1.057494024535271,-0.9879305083741524,-2.997478290450023e-06
-1.0577355693074604,-0.9878993074029458,-3.3852721139232544e-06
-1.0579770466059422,-0.9878686270666048,-2.9926417451364706e-06
-1.0582185003273783,-0.98783795248077,-3.2826097407165356e-06
-1.0584600356050415,-0.987807287107319,-3.0161540855895563e-06
-1.0587016825025857,-0.9877766862824382,-3.4488321823782087e-06
-1.0589434607895998,-0.987746363412848,-3.0192203419251995e-06
-1.059185192600694,-0.9877160902475454,-3.4252716736710154e-06
-1.0594270429491814,-0.9876861000653318,-3.008223137826449e-06
-1.0596688458148649,-0.9876561484732232,-3.405939955552356e-06
-1.0599107694246042,-0.9876264839374964,-3.000286193068774e-06
